"Group.1","x"
2011-12-31,4.49799401537721
2012-01-01,4.76827777777778
2012-01-02,5
2012-01-03,5.19558333333333
2012-01-04,5.27795495441076
2012-01-05,6.33599750063889
2012-01-06,6.40555584727708
2012-01-07,6.35888888888889
2012-01-08,6.88312094444444
2012-01-09,6.55262235555556
2012-01-10,6.73320138888889
2012-01-11,6.97308769443847
2012-01-12,6.81501388888889
2012-01-13,6.71610370871583
2012-01-14,6.39211450083583
2012-01-15,6.95815972222222
2012-01-16,7.05069444444444
2012-01-17,6.69139493069111
2012-01-18,6.75719444444444
2012-01-19,6.13982638888889
2012-01-20,6.80714583333333
2012-01-21,6.85025
2012-01-22,6.61863888888889
2012-01-23,6.48715972222222
2012-01-24,6.51285416666667
2012-01-25,6.46168881716688
2012-01-26,6.155356119605
2012-01-27,5.7846875
2012-01-28,4.98234027777778
2012-01-29,5.70152777777778
2012-01-30,5.52197222222222
2012-01-31,5.54500839219
2012-02-01,5.70248256086903
2012-02-02,6.16828534293035
2012-02-03,6.20723611111111
2012-02-04,6.20781165174069
2012-02-05,5.77002777777778
2012-02-06,5.57811111111111
2012-02-07,5.63452777777778
2012-02-08,5.74895810696056
2012-02-09,5.82327777777778
2012-02-10,5.87955555555556
2012-02-11,5.5645625
2012-02-12,5.58024305555556
2012-02-13,5.6506875
2012-02-14,4.97191989176375
2012-02-15,4.75990857477958
2012-02-16,4.67303258379424
2012-02-17,4.63981602427444
2012-02-18,4.32221761434819
2012-02-19,4.34648611111111
2012-02-20,4.48400808652847
2012-02-21,4.47476591801146
2012-02-22,4.5263644000875
2012-02-23,4.91431450281903
2012-02-24,5.05734112466139
2012-02-25,5.01569428058056
2012-02-26,4.98383084955389
2012-02-27,5.02936117647056
2012-02-28,4.99264228789597
2012-02-29,4.98564891457306
2012-03-01,5.00313889624007
2012-03-02,4.77528091904167
2012-03-03,4.72236027222292
2012-03-04,4.77240972222222
2012-03-05,4.97091164465215
2012-03-06,4.98909500278583
2012-03-07,5.00115276161312
2012-03-08,4.97935937042118
2012-03-09,5.01442258631507
2012-03-10,4.92783264475715
2012-03-11,4.9604347826087
2012-03-12,4.98371527777778
2012-03-13,5.14315662138132
2012-03-14,5.34270563542889
2012-03-15,5.35331676486035
2012-03-16,5.30531944444444
2012-03-17,5.38159027777778
2012-03-18,5.31560048385819
2012-03-19,5.08627534817931
2012-03-20,4.87602270665694
2012-03-21,4.88136111111111
2012-03-22,4.85825435669083
2012-03-23,4.80533992939285
2012-03-24,4.80809948522153
2012-03-25,4.59736111111111
2012-03-26,4.64433966901118
2012-03-27,4.74727101414639
2012-03-28,4.84863827709215
2012-03-29,4.82561946726556
2012-03-30,4.86202299921944
2012-03-31,4.90049705696972
2012-04-01,4.85760714271472
2012-04-02,4.94085577135792
2012-04-03,4.96513194444444
2012-04-04,4.95611347481944
2012-04-05,4.96004465908792
2012-04-06,4.93802669603403
2012-04-07,4.81848113143465
2012-04-08,4.76464129202083
2012-04-09,4.737875
2012-04-10,4.81286269838889
2012-04-11,4.85915777460944
2012-04-12,4.84548952008736
2012-04-13,4.90549071393382
2012-04-14,4.97353089206736
2012-04-15,4.95312817596042
2012-04-16,4.9641875
2012-04-17,4.98985747758937
2012-04-18,5.13149305555556
2012-04-19,5.13653996044431
2012-04-20,5.20606138568549
2012-04-21,5.26461693989965
2012-04-22,5.19426181868757
2012-04-23,5.15071142091139
2012-04-24,5.09404878733549
2012-04-25,5.10644602193229
2012-04-26,5.06172574658132
2012-04-27,5.04917975954667
2012-04-28,4.93708187047146
2012-04-29,4.90614580222729
2012-04-30,4.95742415504868
2012-05-01,4.96738915394215
2012-05-02,5.09894926557722
2012-05-03,5.09852508118611
2012-05-04,5.10278829223736
2012-05-05,5.06527236787542
2012-05-06,5.06209290347764
2012-05-07,5.05130707175778
2012-05-08,5.03746930971688
2012-05-09,5.03992298398757
2012-05-10,4.99319519311354
2012-05-11,4.92375530607521
2012-05-12,4.95061805555556
2012-05-13,4.94178472222222
2012-05-14,4.9232552394941
2012-05-15,4.96595138888889
2012-05-16,5.02077438823951
2012-05-17,5.02437430780104
2012-05-18,5.05316612430181
2012-05-19,5.0645625
2012-05-20,5.04911111111111
2012-05-21,5.05236928291361
2012-05-22,5.05895577931035
2012-05-23,5.06914583333333
2012-05-24,5.09484584765667
2012-05-25,5.08840277777778
2012-05-26,5.07881944444444
2012-05-27,5.06605653102958
2012-05-28,5.07501299697444
2012-05-29,5.07805951751375
2012-05-30,5.11281596720965
2012-05-31,5.14678744246792
2012-06-01,5.20342572309424
2012-06-02,5.19640277777778
2012-06-03,5.19146931197118
2012-06-04,5.21348853678694
2012-06-05,5.37167342678569
2012-06-06,5.4242197786816
2012-06-07,5.46080254529278
2012-06-08,5.58857093184944
2012-06-09,5.56370638813326
2012-06-10,5.48572943302125
2012-06-11,5.49043011480326
2012-06-12,5.64453745416292
2012-06-13,5.87746868319556
2012-06-14,5.84992740317368
2012-06-15,6.00564104147049
2012-06-16,6.42686138690938
2012-06-17,6.30915191718667
2012-06-18,6.1631365953409
2012-06-19,6.40759511438549
2012-06-20,6.56182128168097
2012-06-21,6.65625719828076
2012-06-22,6.61299841955069
2012-06-23,6.50109882851153
2012-06-24,6.39069825695549
2012-06-25,6.23521386996799
2012-06-26,6.35118649934653
2012-06-27,6.47853788476771
2012-06-28,6.4760966258566
2012-06-29,6.54573827812264
2012-06-30,6.57848611111111
2012-07-01,6.56786147021306
2012-07-02,6.60133206171417
2012-07-03,6.52790107791222
2012-07-04,6.48892730847271
