"Group.1","x"
2015-03-28,251.520523848535
2015-03-29,244.087487932424
2015-03-30,246.183204451674
2015-03-31,244.695017544403
2015-04-01,243.855906379896
2015-04-02,249.324772236076
2015-04-03,254.010219489472
2015-04-04,252.702889045132
2015-04-05,256.479471148229
2015-04-06,256.934038693604
2015-04-07,254.252804568958
2015-04-08,247.444231666736
2015-04-09,243.289230810688
2015-04-10,237.0013781015
2015-04-11,236.233564443736
2015-04-12,236.335845962722
2015-04-13,230.294665791222
2015-04-14,218.750941778903
2015-04-15,220.959117268819
2015-04-16,226.738118829569
2015-04-17,223.368933003979
2015-04-18,222.799505793646
2015-04-19,224.426669217215
2015-04-20,224.389471094715
2015-04-21,228.156989370965
2015-04-22,235.138509635312
2015-04-23,234.633819184368
2015-04-24,231.149992800319
2015-04-25,227.066180757313
2015-04-26,218.789820303028
2015-04-27,222.292634851347
2015-04-28,224.840133813729
2015-04-29,224.673233386688
2015-04-30,233.560113460229
2015-05-01,234.185920686715
2015-05-02,233.61529665934
2015-05-03,239.069450998229
2015-05-04,238.647475387549
2015-05-05,234.131667414535
2015-05-06,232.809588165368
2015-05-07,232.931346368215
2015-05-08,240.836935712201
2015-05-09,241.904251111667
2015-05-10,240.563743817014
2015-05-11,240.605946738118
2015-05-12,240.676373627167
2015-05-13,241.124925901375
2015-05-14,236.715306154049
2015-05-15,237.267471168167
2015-05-16,236.237820483535
2015-05-17,235.978519438847
2015-05-18,235.053067645528
2015-05-19,232.680436031979
2015-05-20,233.614094926618
2015-05-21,235.302221069944
2015-05-22,237.225171721201
2015-05-23,239.172336958632
2015-05-24,239.237045060424
2015-05-25,236.817090108958
2015-05-26,236.002193828507
2015-05-27,235.81509419
2015-05-28,236.012157338757
2015-05-29,235.524545509625
2015-05-30,232.737864579549
2015-05-31,231.019581287146
2015-06-01,225.728997587847
2015-06-02,224.290014444313
2015-06-03,225.262277601556
2015-06-04,224.524513302708
2015-06-05,223.939674295715
2015-06-06,224.561445945951
2015-06-07,223.64224638591
2015-06-08,226.181562335701
2015-06-09,229.193910439896
2015-06-10,228.427979871701
2015-06-11,228.970551428757
2015-06-12,229.65788065559
2015-06-13,230.521363603937
2015-06-14,232.262827386674
2015-06-15,234.728457677708
2015-06-16,242.62143126759
2015-06-17,249.548914308069
2015-06-18,247.7101457525
2015-06-19,246.236493016542
2015-06-20,242.894920381875
2015-06-21,243.338870936292
2015-06-22,245.666001717062
2015-06-23,244.260412428542
2015-06-24,241.613391855521
2015-06-25,241.64849129866
2015-06-26,241.780536970868
2015-06-27,247.003279720319
2015-06-28,249.249808907479
2015-06-29,253.793592329063
2015-06-30,263.06096069575
2015-07-01,258.315176938417
2015-07-02,255.651993103833
2015-07-03,254.91263223641
2015-07-04,257.779488001347
2015-07-05,264.863069121368
2015-07-06,272.201938032319
2015-07-07,266.712773404632
2015-07-08,268.378235996014
2015-07-09,269.442936406715
2015-07-10,283.048061508236
2015-07-11,292.994670511736
2015-07-12,307.10672267484
2015-07-13,291.509048322382
2015-07-14,290.305325214125
2015-07-15,290.608621515201
2015-07-16,280.442943919937
2015-07-17,277.537907998326
2015-07-18,278.078119170479
2015-07-19,276.072647992708
2015-07-20,277.935939731708
2015-07-21,278.74792216641
2015-07-22,276.860461551264
2015-07-23,276.907866095542
2015-07-24,284.922351079938
2015-07-25,289.128897175382
2015-07-26,291.597445707021
2015-07-27,291.680632126465
2015-07-28,294.459093218215
2015-07-29,290.090398245528
2015-07-30,287.894016646292
2015-07-31,284.317019216806
2015-08-01,280.138096618986
2015-08-02,280.213246591104
2015-08-03,283.02353609091
2015-08-04,284.204982011264
2015-08-05,282.292402887861
2015-08-06,278.352679650542
2015-08-07,278.451635062736
2015-08-08,270.804664885319
2015-08-09,264.475884155097
2015-08-10,264.580186649063
2015-08-11,266.826175341007
2015-08-12,268.021735004028
2015-08-13,264.516679428028
2015-08-14,265.579963216083
2015-08-15,264.187756153278
2015-08-16,257.605919388632
2015-08-17,257.006770813306
2015-08-18,250.069874771229
2015-08-19,231.293092932535
2015-08-20,234.184643754597
2015-08-21,234.083507276243
2015-08-22,230.165235160729
2015-08-23,229.416264214215
2015-08-24,216.915622052944
2015-08-25,218.285512251562
2015-08-26,226.162298866569
2015-08-27,225.642400294035
2015-08-28,229.616493384861
2015-08-29,230.104427579403
2015-08-30,228.172149884917
2015-08-31,229.299771776312
2015-09-01,227.915156482264
2015-09-02,228.777799813604
2015-09-03,227.529085425021
2015-09-04,229.887061009618
2015-09-05,233.801458480049
2015-09-06,240.715948667875
2015-09-07,240.761350878229
2015-09-08,243.775588649056
2015-09-09,239.725302236937
2015-09-10,238.925890228306
2015-09-11,239.895974560965
2015-09-12,237.11470033484
2015-09-13,231.375300368444
2015-09-14,229.779771893257
2015-09-15,229.969288352056
2015-09-16,228.222044567924
2015-09-17,231.086381007222
2015-09-18,233.078929963576
2015-09-19,231.179386253569
2015-09-20,230.262458663
2015-09-21,226.973352941486
2015-09-22,228.963229223
2015-09-23,229.967425224701
2015-09-24,232.638455250479
2015-09-25,235.490968288667
2015-09-26,234.04525546934
2015-09-27,233.039072084417
2015-09-28,237.792901133924
2015-09-29,237.558190846854
2015-09-30,236.636090413868
2015-10-01,237.406277084271
2015-10-02,237.772462562521
2015-10-03,238.741576829465
2015-10-04,238.771482656132
2015-10-05,238.963597364313
2015-10-06,244.328377571271
2015-10-07,244.737165943729
2015-10-08,243.635737659736
2015-10-09,244.244574868646
2015-10-10,244.918875208924
2015-10-11,246.415594454778
2015-10-12,246.49613259
